feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
K18934	Age.category	D15	3.42716989362021	0.607495548109034	201	151	6.48648975003528e-08	0.00128315740235198
K03416	Age.category	Adult	3.30781113298664	0.654225898875909	201	78	1.04199851356348e-06	0.006938236104536
K17490	Age.category	Adult	3.30017098460525	0.653003828928868	201	78	1.05220444412132e-06	0.006938236104536
K03608	Age.category	Adult	2.89493276880229	0.600201467734033	201	198	3.03342613573888e-06	0.00750090447714831
K06039	Age.category	D15	-2.81355659953821	0.583414306157355	201	148	2.96382305438455e-06	0.00750090447714831
K08972	Age.category	Adult	-1.1254824050068	0.227526051519896	201	201	1.73645140938211e-06	0.00750090447714831
K13935	Age.category	D15	-2.55220256505638	0.524330496553701	201	153	2.44002196755894e-06	0.00750090447714831
K17489	Age.category	Adult	3.69418337491541	0.762716483510061	201	104	2.71380847491366e-06	0.00750090447714831
K03314	Age.category	D15	-2.75843142109739	0.589777267996557	201	155	5.6230220502503e-06	0.00932220039839675
K07586	Age.category	Adult	-1.38119058167047	0.29092011795001	201	201	4.24230833090733e-06	0.00932220039839675
K09908	Age.category	D15	-2.55563969778532	0.548582927375496	201	167	6.1262059033039e-06	0.00932220039839675
K15634	Age.category	Adult	-0.493628545721713	0.105141596775881	201	201	5.3366799226079e-06	0.00932220039839675
K16963	Age.category	Adult	3.19215766046561	0.682318930288775	201	141	5.80768575158301e-06	0.00932220039839675
K00280	Age.category	Adult	2.0761043051118	0.46357858172467	201	35	1.32036277644909e-05	0.0129807346037367
K00484	Age.category	D15	-2.50641101753466	0.613324090091892	201	158	6.5376733687718e-05	0.0129807346037367
K00568	Age.category	Adult	2.45545154848276	0.617992842414089	201	198	0.000102855859658763	0.0129807346037367
K00643	Age.category	Adult	2.58897610463579	0.640369276370144	201	184	7.8757399495648e-05	0.0129807346037367
K00938	Age.category	D15	1.14255812232352	0.292147800689942	201	201	0.000130776598825064	0.0129807346037367
K00996	Age.category	Adult	3.08626362788378	0.769688607557911	201	164	8.87852982434581e-05	0.0129807346037367
K00998	Age.category	D15	-2.32053428539484	0.557553504913918	201	159	4.85930292645613e-05	0.0129807346037367
K01073	Age.category	D15	2.90635788325302	0.728012600828782	201	115	9.51179114608604e-05	0.0129807346037367
K01194	Age.category	Adult	2.89921453924195	0.740441825447943	201	155	0.00012814157412361	0.0129807346037367
K01613	Age.category	Adult	1.86225068355191	0.471102497258681	201	201	0.00011143304946535	0.0129807346037367
K01708	Age.category	Adult	2.58039601750991	0.649902527798839	201	171	0.00010397982068509	0.0129807346037367
K01766	Age.category	D15	-2.30949775171375	0.562565153622303	201	159	6.08349467996796e-05	0.0129807346037367
K01823	Age.category	Adult	-0.918117576727738	0.235851603572181	201	201	0.000139474011679328	0.0129807346037367
